日期,小时(0-23),站点编号,借出量,归还量
2025-04-07,0,S001,3,0
2025-04-07,0,S002,0,1
2025-04-07,0,S003,0,0
2025-04-07,0,S004,3,1
2025-04-07,0,S005,1,3
2025-04-07,0,S006,1,2
2025-04-07,0,S007,0,0
2025-04-07,0,S008,0,0
2025-04-07,0,S009,0,0
2025-04-07,0,S010,1,0
2025-04-07,0,S011,0,0
2025-04-07,0,S012,1,0
2025-04-07,0,S013,0,1
2025-04-07,0,S014,1,0
2025-04-07,0,S015,0,0
2025-04-07,0,S016,0,0
2025-04-07,0,S017,1,0
2025-04-07,0,S018,3,2
2025-04-07,0,S019,0,4
2025-04-07,0,S020,1,0
2025-04-07,0,S021,0,1
2025-04-07,0,S022,0,2
2025-04-07,0,S023,0,0
2025-04-07,0,S024,0,0
2025-04-07,0,S025,3,1
2025-04-07,0,S026,2,0
2025-04-07,0,S027,2,1
2025-04-07,0,S028,0,0
2025-04-07,0,S029,0,0
2025-04-07,0,S030,0,0
2025-04-07,1,S001,0,0
2025-04-07,1,S002,0,1
2025-04-07,1,S003,1,0
2025-04-07,1,S004,0,0
2025-04-07,1,S005,0,0
2025-04-07,1,S006,2,0
2025-04-07,1,S007,0,0
2025-04-07,1,S008,0,3
2025-04-07,1,S009,0,0
2025-04-07,1,S010,2,0
2025-04-07,1,S011,1,0
2025-04-07,1,S012,0,0
2025-04-07,1,S013,0,1
2025-04-07,1,S014,1,0
2025-04-07,1,S015,2,2
2025-04-07,1,S016,0,0
2025-04-07,1,S017,0,1
2025-04-07,1,S018,2,1
2025-04-07,1,S019,1,1
2025-04-07,1,S020,0,0
2025-04-07,1,S021,0,1
2025-04-07,1,S022,0,2
2025-04-07,1,S023,2,0
2025-04-07,1,S024,3,0
2025-04-07,1,S025,2,0
2025-04-07,1,S026,0,0
2025-04-07,1,S027,4,3
2025-04-07,1,S028,0,0
2025-04-07,1,S029,3,2
2025-04-07,1,S030,0,0
2025-04-07,2,S001,3,2
2025-04-07,2,S002,1,0
2025-04-07,2,S003,1,0
2025-04-07,2,S004,4,2
2025-04-07,2,S005,0,0
2025-04-07,2,S006,1,2
2025-04-07,2,S007,1,2
2025-04-07,2,S008,0,1
2025-04-07,2,S009,0,0
2025-04-07,2,S010,0,4
2025-04-07,2,S011,0,1
2025-04-07,2,S012,0,0
2025-04-07,2,S013,0,0
2025-04-07,2,S014,0,0
2025-04-07,2,S015,0,0
2025-04-07,2,S016,0,0
2025-04-07,2,S017,0,0
2025-04-07,2,S018,1,0
2025-04-07,2,S019,1,0
2025-04-07,2,S020,3,1
2025-04-07,2,S021,0,1
2025-04-07,2,S022,0,0
2025-04-07,2,S023,3,0
2025-04-07,2,S024,0,2
2025-04-07,2,S025,0,2
2025-04-07,2,S026,4,2
2025-04-07,2,S027,2,0
2025-04-07,2,S028,3,0
2025-04-07,2,S029,2,1
2025-04-07,2,S030,0,0
2025-04-07,3,S001,0,2
