parameter_label,lambda_1,lambda_2,lambda_3,theta,w_min,w_max,mae,rmse,smape,hit10,total_relative_error,share_l1,rank_mae,rank_rmse,rank_total_relative_error,rank_share_l1,average_rank
"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",0.6,0.2,0.2,0.7,0.3,0.8,3.4256944444444444,4.643296119819836,0.6055060964543515,0.25381944444444443,0.11790552218355674,0.4006568191057184,2.0,1.0,8.0,1.0,3.0
"lambda=(0.60,0.20,0.20);theta=0.80;w=[0.30,0.80]",0.6,0.2,0.2,0.8,0.3,0.8,3.425,4.643628841133899,0.6056049774642746,0.2545138888888889,0.11744480740576604,0.4011441499998019,1.0,2.0,7.0,3.0,3.25
"lambda=(0.40,0.30,0.30);theta=0.70;w=[0.30,0.80]",0.4,0.3,0.3,0.7,0.3,0.8,3.432291666666667,4.659543284823779,0.6079113707514984,0.25555555555555554,0.11653733789806318,0.40202892879056007,4.0,4.0,1.0,4.0,3.25
"lambda=(0.60,0.20,0.20);theta=0.60;w=[0.30,0.80]",0.6,0.2,0.2,0.6,0.3,0.8,3.4270833333333335,4.6447997179077,0.60538445987753,0.25277777777777777,0.11832207023767524,0.40075273703991,3.0,3.0,9.0,2.0,4.25
"lambda=(0.40,0.30,0.30);theta=0.60;w=[0.30,0.80]",0.4,0.3,0.3,0.6,0.3,0.8,3.434722222222222,4.663470456579915,0.607878927146806,0.2552083333333333,0.11659586032918598,0.402326321992888,5.0,8.0,2.0,12.0,6.75
"lambda=(0.50,0.25,0.25);theta=0.70;w=[0.30,0.80]",0.5,0.25,0.25,0.7,0.3,0.8,3.436111111111111,4.660061987818996,0.6077000714078655,0.2559027777777778,0.11704894690512538,0.4023121685662361,7.0,5.0,6.0,10.0,7.0
"lambda=(0.50,0.25,0.25);theta=0.60;w=[0.30,0.80]",0.5,0.25,0.25,0.6,0.3,0.8,3.4368055555555554,4.660612282747058,0.6076637751123614,0.2534722222222222,0.11691291125002332,0.40231271122202766,8.0,6.0,3.0,11.0,7.0
"lambda=(0.40,0.30,0.30);theta=0.80;w=[0.30,0.80]",0.4,0.3,0.3,0.8,0.3,0.8,3.4347222222222222,4.665632025384976,0.6078897834078327,0.25625,0.1169679074812973,0.40229514223628704,6.0,9.0,5.0,9.0,7.25
"lambda=(0.50,0.25,0.25);theta=0.80;w=[0.30,0.80]",0.5,0.25,0.25,0.8,0.3,0.8,3.4378472222222225,4.663245815226149,0.6076222894080701,0.2552083333333333,0.11694719252976113,0.4028313000301718,11.0,7.0,4.0,15.0,9.25
"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.20,0.90]",0.6,0.2,0.2,0.7,0.2,0.9,3.4385416666666666,4.677657290386662,0.6063916911472469,0.2534722222222222,0.11982562140026165,0.4022764740345964,12.0,12.0,24.0,7.0,13.75
