target_d,station_id,zone,method,stock_mae,empty_hours_pred,empty_hours_actual,full_hours_pred,full_hours_actual,empty_hour_diff,full_hour_diff,risk_diff
7,S001,Educational (文教科研区),base1,4.833333333333333,0,0,0,0,0,0,0
7,S001,Educational (文教科研区),base2,1.875,0,0,0,0,0,0,0
7,S001,Educational (文教科研区),model,3.9583333333333335,0,0,0,0,0,0,0
7,S002,Educational (文教科研区),base1,6.916666666666667,6,2,0,0,4,0,4
7,S002,Educational (文教科研区),base2,7.0,0,2,0,0,2,0,2
7,S002,Educational (文教科研区),model,6.291666666666667,6,2,0,0,4,0,4
7,S003,Educational (文教科研区),base1,6.083333333333333,7,3,0,0,4,0,4
7,S003,Educational (文教科研区),base2,8.083333333333334,3,3,0,0,0,0,0
7,S003,Educational (文教科研区),model,6.166666666666667,7,3,0,0,4,0,4
7,S004,Educational (文教科研区),base1,7.458333333333333,0,7,2,0,7,2,9
7,S004,Educational (文教科研区),base2,3.5833333333333335,0,7,0,0,7,0,7
7,S004,Educational (文教科研区),model,6.791666666666667,0,7,0,0,7,0,7
7,S005,Educational (文教科研区),base1,7.958333333333333,5,0,0,0,5,0,5
7,S005,Educational (文教科研区),base2,3.0,0,0,0,0,0,0,0
7,S005,Educational (文教科研区),model,6.25,0,0,0,0,0,0,0
7,S006,Educational (文教科研区),base1,4.5,0,0,0,1,0,1,1
7,S006,Educational (文教科研区),base2,3.0833333333333335,0,0,0,1,0,1,1
7,S006,Educational (文教科研区),model,3.8333333333333335,0,0,0,1,0,1,1
7,S007,Educational (文教科研区),base1,2.4583333333333335,4,1,0,0,3,0,3
7,S007,Educational (文教科研区),base2,3.5,5,1,0,0,4,0,4
7,S007,Educational (文教科研区),model,2.5,4,1,0,0,3,0,3
7,S008,Educational (文教科研区),base1,6.166666666666667,2,0,0,6,2,6,8
7,S008,Educational (文教科研区),base2,9.291666666666666,3,0,0,6,3,6,9
7,S008,Educational (文教科研区),model,5.833333333333333,0,0,0,6,0,6,6
7,S009,Commercial/Transit (商业与交通枢纽区),base1,8.208333333333334,0,0,0,2,0,2,2
7,S009,Commercial/Transit (商业与交通枢纽区),base2,4.791666666666667,0,0,0,2,0,2,2
7,S009,Commercial/Transit (商业与交通枢纽区),model,7.166666666666667,0,0,0,2,0,2,2
7,S010,Recreational/Public (休闲与公共设施区),base1,3.0,0,0,0,0,0,0,0
7,S010,Recreational/Public (休闲与公共设施区),base2,6.0,6,0,0,0,6,0,6
