target_d,method,variable,station_id,zone,mae,rmse,smape,hit10,total_relative_error,share_l1
7,base1,borrow,S001,Educational (文教科研区),1.5,2.41522945769824,0.3167080709855646,0.5833333333333334,0.031007751937984496,0.1482170542635659
7,base1,return,S001,Educational (文教科研区),2.5416666666666665,3.0482235263619804,0.5451671551953686,0.25,0.003952569169960474,0.2427379383901123
7,base1,combined,S001,Educational (文教科研区),2.0208333333333335,2.75,0.4309376130904665,0.4166666666666667,0.01761252446183953,0.19592861430988376
7,base2,borrow,S001,Educational (文教科研区),1.4583333333333333,2.01038968030247,0.33316034334340966,0.5416666666666666,0.027131782945736434,0.1282003767874239
7,base2,return,S001,Educational (文教科研区),1.375,1.695582495781317,0.4610878022790797,0.4166666666666667,0.03557312252964427,0.1368496079828938
7,base2,combined,S001,Educational (文教科研区),1.4166666666666667,1.8596594670351165,0.3971240728112447,0.4791666666666667,0.03131115459882583,0.13149103560062464
7,model,borrow,S001,Educational (文教科研区),1.375,2.131118642090737,0.3079212056769602,0.5833333333333334,0.027131782945736434,0.13514932517990055
7,model,return,S001,Educational (文教科研区),2.25,2.6770630673681683,0.5251095276152484,0.25,0.007905138339920948,0.21649370895863188
7,model,combined,S001,Educational (文教科研区),1.8125,2.419538523492996,0.4165153666461043,0.4166666666666667,0.01761252446183953,0.17600829558478415
7,base1,borrow,S002,Educational (文教科研区),2.4166666666666665,2.8722813232690143,0.5525688819652687,0.20833333333333334,0.07228915662650602,0.20937683317539826
7,base1,return,S002,Educational (文教科研区),2.5416666666666665,3.4217441946079683,0.44580477240400374,0.2916666666666667,0.05179282868525897,0.2526030332451705
7,base1,combined,S002,Educational (文教科研区),2.4791666666666665,3.158981903504144,0.4991868271846361,0.25,0.01,0.23710891089108913
7,base2,borrow,S002,Educational (文教科研区),1.75,2.5495097567963922,0.27279564442389864,0.5,0.008032128514056224,0.17184274948399175
7,base2,return,S002,Educational (文教科研区),2.2916666666666665,2.9368350311176825,0.479188002771538,0.2916666666666667,0.027888446215139442,0.22140944419045133
7,base2,combined,S002,Educational (文教科研区),2.0208333333333335,2.75,0.37599182359771827,0.3958333333333333,0.01,0.19595959595959597
7,model,borrow,S002,Educational (文教科研区),2.2083333333333335,2.6536138880151094,0.5370353274023915,0.25,0.06827309236947791,0.1950659781985083
