target_d,method,variable,station_id,zone,mae,rmse,smape,hit10,total_relative_error,share_l1
7,base1,borrow,ALL,Commercial/Transit (商业与交通枢纽区),1.7152777777777777,2.1778557242286634,0.4923627540051123,0.24305555555555555,0.031155778894472363,0.25373548239120913
7,base1,return,ALL,Commercial/Transit (商业与交通枢纽区),2.0416666666666665,2.656229575084871,0.5053021662969029,0.25,0.021505376344086023,0.29226687291203424
7,base1,combined,ALL,Commercial/Transit (商业与交通枢纽区),1.8784722222222223,2.4288486069649453,0.49883246015100763,0.2465277777777778,0.02626362735381566,0.27339340338984763
7,base2,borrow,ALL,Commercial/Transit (商业与交通枢纽区),1.6666666666666667,2.251542681017716,0.4528673936161647,0.3055555555555556,0.03015075376884422,0.24223709219673495
7,base2,return,ALL,Commercial/Transit (商业与交通枢纽区),1.8263888888888888,2.376096238230542,0.495066231713388,0.2361111111111111,0.03812316715542522,0.2570869990224829
7,base2,combined,ALL,Commercial/Transit (商业与交通枢纽区),1.7465277777777777,2.3146574020551918,0.47396681266477636,0.2708333333333333,0.03419226957383548,0.24983562508994217
7,model,borrow,ALL,Commercial/Transit (商业与交通枢纽区),1.6041666666666667,2.022443516585266,0.4601790335718678,0.25,0.02512562814070352,0.2335077449101176
7,model,return,ALL,Commercial/Transit (商业与交通枢纽区),1.9305555555555556,2.5358540091171564,0.4909798571985152,0.2847222222222222,0.011730205278592375,0.27343212927591215
7,model,combined,ALL,Commercial/Transit (商业与交通枢纽区),1.7673611111111112,2.2935598240871475,0.4755794453851915,0.2673611111111111,0.018334985133795837,0.2540532481768075
7,base1,borrow,ALL,Educational (文教科研区),1.5833333333333333,2.247683993210196,0.3660299978812511,0.4947916666666667,0.004975124378109453,0.15217476971577754
7,base1,return,ALL,Educational (文教科研区),2.125,3.085584763595603,0.4295817986662899,0.390625,0.013013013013013013,0.2084406922135117
7,base1,combined,ALL,Educational (文教科研区),1.8541666666666667,2.6993440561242528,0.3978058982737705,0.4427083333333333,0.003992015968063872,0.17919071676286705
7,base2,borrow,ALL,Educational (文教科研区),1.4791666666666667,1.9552280344416777,0.4063554036020478,0.4947916666666667,0.0009950248756218905,0.14138966521971813
7,base2,return,ALL,Educational (文教科研区),1.96875,2.5960707489075356,0.48973279124283303,0.3333333333333333,0.023023023023023025,0.190675306453995
7,base2,combined,ALL,Educational (文教科研区),1.7239583333333333,2.2980970388562794,0.4480440974224404,0.4140625,0.011976047904191617,0.16613742212544608
7,model,borrow,ALL,Educational (文教科研区),1.5052083333333333,2.065338955232288,0.3587710139223163,0.515625,0.006467661691542288,0.14416154521510094
7,model,return,ALL,Educational (文教科研区),2.0416666666666665,2.8722813232690143,0.4236216510202285,0.390625,0.012012012012012012,0.19936045467960362
7,model,combined,ALL,Educational (文教科研区),1.7734375,2.5015620120236877,0.3911963324712724,0.453125,0.0027445109780439123,0.17089963180968562
7,base1,borrow,ALL,Recreational/Public (休闲与公共设施区),1.9869791666666667,2.6304506901543188,0.5742702183286944,0.2838541666666667,0.021313614615050023,0.3330271735062945
7,base1,return,ALL,Recreational/Public (休闲与公共设施区),2.0286458333333335,2.6833786228062064,0.5295762010425763,0.2526041666666667,0.05857914416285833,0.3354793004076445
7,base1,combined,ALL,Recreational/Public (休闲与公共设施区),2.0078125,2.6570464492238997,0.5519232096856354,0.2682291666666667,0.019549511262218443,0.33242072069134554
7,base2,borrow,ALL,Recreational/Public (休闲与公共设施区),1.71875,2.2810359488618324,0.6005586475554735,0.234375,0.008699434536755112,0.2886381596063009
7,base2,return,ALL,Recreational/Public (休闲与公共设施区),1.6927083333333333,2.301494079940246,0.5067016134824955,0.28125,0.05068550062318238,0.27375006704551547
7,base2,combined,ALL,Recreational/Public (休闲与公共设施区),1.7057291666666667,2.29128784747792,0.5536301305189845,0.2578125,0.021674458138546536,0.28136216664088176
7,model,borrow,ALL,Recreational/Public (休闲与公共设施区),1.7682291666666667,2.308837189293924,0.5432120258489489,0.28125,0.023923444976076555,0.2975206611570248
7,model,return,ALL,Recreational/Public (休闲与公共设施区),1.7838541666666667,2.3744516910927738,0.49268560153535645,0.2786458333333333,0.050270045700041545,0.29069995249347463
7,model,combined,ALL,Recreational/Public (休闲与公共设施区),1.7760416666666667,2.341874249399399,0.5179488136921527,0.2799479166666667,0.014024649383765405,0.2922910224658177
