analysis,scenario_id,scenario_description,parameter_label,use_global_template,finalization_mode,target_d,method,variable,station_id,zone,mae,rmse,smape,hit10,total_relative_error,share_l1
02_weight_clip,base_model,Basic model selected by pseudo-validation.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,7,base_model,borrow,ALL,ALL,1.6652777777777779,2.190573238015819,0.47742115754643066,0.3375,0.008107088989441931,0.22677903144684958
02_weight_clip,base_model,Basic model selected by pseudo-validation.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,7,base_model,return,ALL,ALL,1.8819444444444444,2.548147475236776,0.4739273991972873,0.30972222222222223,0.0289240972733972,0.2548061604863139
02_weight_clip,base_model,Basic model selected by pseudo-validation.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,7,base_model,combined,ALL,ALL,1.773611111111111,2.376096238230542,0.475674278371859,0.3236111111111111,0.010622437569884458,0.24042889636632062
02_weight_clip,wide_clip_0_2_0_9,Allow stronger station self-dependence and stronger shrinkage.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.20,0.90]",True,cap,7,wide_clip_0_2_0_9,borrow,ALL,ALL,1.6861111111111111,2.2323380867004294,0.4792860871654051,0.33194444444444443,0.007918552036199095,0.22987923478119557
02_weight_clip,wide_clip_0_2_0_9,Allow stronger station self-dependence and stronger shrinkage.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.20,0.90]",True,cap,7,wide_clip_0_2_0_9,return,ALL,ALL,1.8958333333333333,2.598877963019169,0.47484288859687546,0.3111111111111111,0.02929255711127487,0.2573612597312488
02_weight_clip,wide_clip_0_2_0_9,Allow stronger station self-dependence and stronger shrinkage.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.20,0.90]",True,cap,7,wide_clip_0_2_0_9,combined,ALL,ALL,1.7909722222222222,2.4225503090751284,0.47706448788114025,0.3215277777777778,0.01090197540067089,0.24292521307462822
02_weight_clip,upper_0_9,Keep lower bound but allow higher station credibility.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.90]",True,cap,7,upper_0_9,borrow,ALL,ALL,1.6861111111111111,2.2323380867004294,0.4792860871654051,0.33194444444444443,0.007918552036199095,0.22987923478119557
02_weight_clip,upper_0_9,Keep lower bound but allow higher station credibility.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.90]",True,cap,7,upper_0_9,return,ALL,ALL,1.8958333333333333,2.598877963019169,0.47484288859687546,0.3111111111111111,0.02929255711127487,0.2573612597312488
02_weight_clip,upper_0_9,Keep lower bound but allow higher station credibility.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.90]",True,cap,7,upper_0_9,combined,ALL,ALL,1.7909722222222222,2.4225503090751284,0.47706448788114025,0.3215277777777778,0.01090197540067089,0.24292521307462822
02_weight_clip,narrow_clip_0_3_0_7,Stronger shrinkage by lowering the upper credibility bound.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.70]",True,cap,7,narrow_clip_0_3_0_7,borrow,ALL,ALL,1.6416666666666666,2.1596038731417595,0.47842878609480416,0.34444444444444444,0.0030165912518853697,0.2231795552228989
02_weight_clip,narrow_clip_0_3_0_7,Stronger shrinkage by lowering the upper credibility bound.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.70]",True,cap,7,narrow_clip_0_3_0_7,return,ALL,ALL,1.8388888888888888,2.490537648335752,0.469142528836178,0.3236111111111111,0.03389830508474576,0.24872978319047434
02_weight_clip,narrow_clip_0_3_0_7,Stronger shrinkage by lowering the upper credibility bound.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.70]",True,cap,7,narrow_clip_0_3_0_7,combined,ALL,ALL,1.7402777777777778,2.330951164939612,0.4737856574654911,0.33402777777777776,0.015654118524040254,0.23669321599824328
02_weight_clip,conservative_0_4_0_8,Avoid very low station credibility.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.40,0.80]",True,cap,7,conservative_0_4_0_8,borrow,ALL,ALL,1.6652777777777779,2.190573238015819,0.47742115754643066,0.3375,0.008107088989441931,0.22677903144684958
02_weight_clip,conservative_0_4_0_8,Avoid very low station credibility.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.40,0.80]",True,cap,7,conservative_0_4_0_8,return,ALL,ALL,1.8819444444444444,2.548147475236776,0.4739273991972873,0.30972222222222223,0.0289240972733972,0.2548061604863139
02_weight_clip,conservative_0_4_0_8,Avoid very low station credibility.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.40,0.80]",True,cap,7,conservative_0_4_0_8,combined,ALL,ALL,1.773611111111111,2.376096238230542,0.475674278371859,0.3236111111111111,0.010622437569884458,0.24042889636632062
