analysis,scenario_id,scenario_description,parameter_label,use_global_template,finalization_mode,target_d,method,variable,station_id,zone,mae,rmse,smape,hit10,total_relative_error,share_l1
02_weight_clip,base_model,Basic model selected by pseudo-validation.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,7,base_model,borrow,S001,Educational (文教科研区),1.375,2.131118642090737,0.3079212056769602,0.5833333333333334,0.027131782945736434,0.13514932517990055
02_weight_clip,base_model,Basic model selected by pseudo-validation.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,7,base_model,return,S001,Educational (文教科研区),2.25,2.6770630673681683,0.5251095276152484,0.25,0.007905138339920948,0.21649370895863188
02_weight_clip,base_model,Basic model selected by pseudo-validation.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,7,base_model,combined,S001,Educational (文教科研区),1.8125,2.419538523492996,0.4165153666461043,0.4166666666666667,0.01761252446183953,0.17600829558478415
02_weight_clip,base_model,Basic model selected by pseudo-validation.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,7,base_model,borrow,S002,Educational (文教科研区),2.2083333333333335,2.6536138880151094,0.5370353274023915,0.25,0.06827309236947791,0.1950659781985083
02_weight_clip,base_model,Basic model selected by pseudo-validation.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,7,base_model,return,S002,Educational (文教科研区),2.4583333333333335,3.142451272494134,0.4460193540160445,0.25,0.043824701195219126,0.24272908366533863
02_weight_clip,base_model,Basic model selected by pseudo-validation.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,7,base_model,combined,S002,Educational (文教科研区),2.3333333333333335,2.908321394435858,0.491527340709218,0.25,0.012,0.22158102766798418
02_weight_clip,base_model,Basic model selected by pseudo-validation.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,7,base_model,borrow,S003,Educational (文教科研区),2.0416666666666665,2.508319490548735,0.4842298609518289,0.2916666666666667,0.04887218045112782,0.19290320663318372
02_weight_clip,base_model,Basic model selected by pseudo-validation.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,7,base_model,return,S003,Educational (文教科研区),2.625,3.9104560688833554,0.26809723420012244,0.2916666666666667,0.09398496240601503,0.2190746575983527
02_weight_clip,base_model,Basic model selected by pseudo-validation.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,7,base_model,combined,S003,Educational (文教科研区),2.3333333333333335,3.2850672240711707,0.37616354757597564,0.2916666666666667,0.07142857142857142,0.20936957779063042
02_weight_clip,base_model,Basic model selected by pseudo-validation.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,7,base_model,borrow,S004,Educational (文教科研区),1.0,1.3844373104863459,0.16249870027139285,0.7083333333333334,0.02575107296137339,0.09794027331334067
02_weight_clip,base_model,Basic model selected by pseudo-validation.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,7,base_model,return,S004,Educational (文教科研区),2.125,3.0754403478743226,0.5726887670712236,0.4166666666666667,0.12272727272727273,0.24166359955833638
02_weight_clip,base_model,Basic model selected by pseudo-validation.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,7,base_model,combined,S004,Educational (文教科研区),1.5625,2.384848003542364,0.3675937336713082,0.5625,0.0728476821192053,0.1575232333142561
02_weight_clip,base_model,Basic model selected by pseudo-validation.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,7,base_model,borrow,S005,Educational (文教科研区),1.25,1.7795130420052185,0.3309579437506263,0.625,0.023166023166023165,0.12553361987324252
02_weight_clip,base_model,Basic model selected by pseudo-validation.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,7,base_model,return,S005,Educational (文教科研区),1.4166666666666667,2.160246899469287,0.2765282868043601,0.5416666666666666,0.04081632653061224,0.1427771108443377
02_weight_clip,base_model,Basic model selected by pseudo-validation.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,7,base_model,combined,S005,Educational (文教科研区),1.3333333333333333,1.9790570145063195,0.3037431152774932,0.5833333333333334,0.031746031746031744,0.13528693528693525
02_weight_clip,base_model,Basic model selected by pseudo-validation.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,7,base_model,borrow,S006,Educational (文教科研区),1.2083333333333333,1.7677669529663689,0.40837041402416613,0.625,0.028112449799196786,0.11910140562248994
