analysis,scenario_id,scenario_description,parameter_label,use_global_template,finalization_mode,target_d,method,variable,station_id,zone,mae,rmse,smape,hit10,total_relative_error,share_l1
03_zone_shrinkage,theta_0_0_global_only,Use only the global template inside the shrinkage part.,"lambda=(0.60,0.20,0.20);theta=0.00;w=[0.30,0.80]",True,cap,7,theta_0_0_global_only,borrow,ALL,ALL,1.6625,2.1931078911495034,0.4774451954617411,0.3388888888888889,0.005467571644042232,0.22628669665157242
03_zone_shrinkage,theta_0_0_global_only,Use only the global template inside the shrinkage part.,"lambda=(0.60,0.20,0.20);theta=0.00;w=[0.30,0.80]",True,cap,7,theta_0_0_global_only,return,ALL,ALL,1.8736111111111111,2.528449239268124,0.47386912868118775,0.3111111111111111,0.03187177597641857,0.25393010972460517
03_zone_shrinkage,theta_0_0_global_only,Use only the global template inside the shrinkage part.,"lambda=(0.60,0.20,0.20);theta=0.00;w=[0.30,0.80]",True,cap,7,theta_0_0_global_only,combined,ALL,ALL,1.7680555555555555,2.3667253513850923,0.4756571620714644,0.325,0.013417815877748788,0.24022011852882774
03_zone_shrinkage,theta_0_5_balanced,Use equal functional-zone and global template weights.,"lambda=(0.60,0.20,0.20);theta=0.50;w=[0.30,0.80]",True,cap,7,theta_0_5_balanced,borrow,ALL,ALL,1.663888888888889,2.19342451684828,0.4777577167117839,0.3388888888888889,0.00641025641025641,0.2265541689483241
03_zone_shrinkage,theta_0_5_balanced,Use equal functional-zone and global template weights.,"lambda=(0.60,0.20,0.20);theta=0.50;w=[0.30,0.80]",True,cap,7,theta_0_5_balanced,return,ALL,ALL,1.8875,2.5405051991024674,0.4743134354658091,0.30694444444444446,0.029661016949152543,0.2552171660450583
03_zone_shrinkage,theta_0_5_balanced,Use equal functional-zone and global template weights.,"lambda=(0.60,0.20,0.20);theta=0.50;w=[0.30,0.80]",True,cap,7,theta_0_5_balanced,combined,ALL,ALL,1.7756944444444445,2.373318117928755,0.47603557608879654,0.3229166666666667,0.011833768169959001,0.24090959492626757
03_zone_shrinkage,theta_0_6,Moderate functional-zone dominance.,"lambda=(0.60,0.20,0.20);theta=0.60;w=[0.30,0.80]",True,cap,7,theta_0_6,borrow,ALL,ALL,1.6694444444444445,2.1927912197319044,0.4777896630423872,0.3375,0.007918552036199095,0.22732351163723713
03_zone_shrinkage,theta_0_6,Moderate functional-zone dominance.,"lambda=(0.60,0.20,0.20);theta=0.60;w=[0.30,0.80]",True,cap,7,theta_0_6,return,ALL,ALL,1.8847222222222222,2.545420724883544,0.474072625351206,0.30694444444444446,0.030029476787030215,0.2550476898302986
03_zone_shrinkage,theta_0_6,Moderate functional-zone dominance.,"lambda=(0.60,0.20,0.20);theta=0.60;w=[0.30,0.80]",True,cap,7,theta_0_6,combined,ALL,ALL,1.7770833333333333,2.37565780364092,0.47593114419679655,0.32222222222222224,0.011274692508386135,0.24099907152659425
03_zone_shrinkage,base_model,Basic model selected by pseudo-validation.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,7,base_model,borrow,ALL,ALL,1.6652777777777779,2.190573238015819,0.47742115754643066,0.3375,0.008107088989441931,0.22677903144684958
