analysis,scenario_id,scenario_description,parameter_label,use_global_template,finalization_mode,target_d,method,variable,station_id,zone,mae,rmse,smape,hit10,total_relative_error,share_l1
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,borrow,S001,Educational (文教科研区),1.4707343599796368,2.228062630656749,0.4567978337062493,0.4583333333333333,0.029069767441860354,0.13497749016170094
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,return,S001,Educational (文教科研区),2.2363003135600716,2.6715976840643862,0.5805443069066448,0.20833333333333334,0.008300395256916861,0.21401398450064751
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,combined,S001,Educational (文教科研区),1.853517336769854,2.4598472789613655,0.5186710703064471,0.3333333333333333,0.018786692759295433,0.1748230623412118
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,borrow,S002,Educational (文教科研区),2.181626898225244,2.6032791776811317,0.4802676536866051,0.16666666666666666,0.06064257028112459,0.19126645080054844
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,return,S002,Educational (文教科研区),2.4518198252045655,3.195655732567956,0.666155312384781,0.20833333333333334,0.04501992031872514,0.24229594142466102
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,combined,S002,Educational (文教科研区),2.316723361714905,2.914556401756757,0.573211483035693,0.1875,0.0076000000000000225,0.22037431520342798
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,borrow,S003,Educational (文教科研区),2.0309749276267937,2.454959635037747,0.55748821628961,0.25,0.05225563909774428,0.19024560839214955
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,return,S003,Educational (文教科研区),2.7339161458622634,3.9520060841984606,0.5964066634906103,0.16666666666666666,0.09285714285714303,0.22850619969381342
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,combined,S003,Educational (文教科研区),2.382445536744529,3.289770425060563,0.5769474398901102,0.20833333333333334,0.07255639097744365,0.2129654661845419
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,borrow,S004,Educational (文教科研区),0.935635904176254,1.2593948234727705,0.3265831078040273,0.6666666666666666,0.02017167381974244,0.08658422033195415
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,return,S004,Educational (文教科研区),2.1469720650100226,3.1221707292345617,0.7122832512224851,0.3333333333333333,0.1222727272727273,0.24646298339778597
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,combined,S004,Educational (文教科研区),1.5413039845931384,2.3805488215828596,0.5194331795132562,0.5,0.06975717439293604,0.16018599353755644
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,borrow,S005,Educational (文教科研区),1.299474211246525,1.7725877891907518,0.48528455038306956,0.5,0.02895752895752896,0.12911744073091197
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,return,S005,Educational (文教科研区),1.453140659716082,2.1067176316591545,0.6797738988391986,0.3333333333333333,0.04367346938775506,0.1482530612582827
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,combined,S005,Educational (文教科研区),1.3763074354813034,1.9468341801411482,0.5825292246111341,0.4166666666666667,0.0361111111111112,0.13869089319644706
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,borrow,S006,Educational (文教科研区),1.2310133422807177,1.7608199893973027,0.622621926616927,0.5,0.025301204819277383,0.12097643584081044
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,return,S006,Educational (文教科研区),1.730567697056638,2.4096221029180582,0.6306021603410623,0.3333333333333333,0.016796875000000044,0.16201840072422935
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,combined,S006,Educational (文教科研区),1.4807905196686777,2.1103039726461637,0.6266120434789947,0.4166666666666667,0.003960396039604073,0.14135708866666183
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,borrow,S007,Educational (文教科研区),1.3327499746836213,1.7404677129799726,0.5973374177773871,0.3333333333333333,0.00039062500000031086,0.12507040469506808
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,return,S007,Educational (文教科研区),1.6308104594949722,2.2144374046891313,0.5825713784799329,0.2916666666666667,0.07918215613382903,0.13807757412912736
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,combined,S007,Educational (文教科研区),1.4817802170892966,1.9916024803173038,0.58995439812866,0.3125,0.040380952380952254,0.13467211046768757
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,borrow,S008,Educational (文教科研区),1.6478755544019321,2.2085791072021177,0.6491742138996974,0.3333333333333333,0.009583333333333381,0.16992993958342323
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,return,S008,Educational (文教科研区),1.9121611878369376,2.604225050485297,0.4082120537984113,0.375,0.00042016806722674745,0.19259728990581235
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,combined,S008,Educational (文教科研区),1.7800183711194346,2.414519598837919,0.5286931338490545,0.3541666666666667,0.004602510460251141,0.18121754643122234
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,borrow,S009,Commercial/Transit (商业与交通枢纽区),1.5286183395946455,1.9165459716758397,0.6679455758225806,0.16666666666666666,0.010221835440061772,0.2102294693583593
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,return,S009,Commercial/Transit (商业与交通枢纽区),2.335552827628765,2.940851586924092,0.6436872798481261,0.16666666666666666,0.08951181830545352,0.29838776497131725
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,combined,S009,Commercial/Transit (商业与交通枢纽区),1.9320855836117048,2.4821116531958065,0.6558164278353533,0.16666666666666666,0.051383301954882624,0.2594143511175838
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,borrow,S010,Recreational/Public (休闲与公共设施区),1.8506288463922302,2.3268829330205465,0.6402751740426557,0.08333333333333333,0.05402706843718084,0.236821861507219
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,return,S010,Recreational/Public (休闲与公共设施区),1.8354863116786504,2.5032273408143983,0.6589790896592271,0.2916666666666667,0.0698186528497409,0.2411010516582117
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,combined,S010,Recreational/Public (休闲与公共设施区),1.8430575790354407,2.4166641578613097,0.6496271318509415,0.1875,0.062242097525116474,0.23728606811540293
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,borrow,S011,Recreational/Public (休闲与公共设施区),1.6389560933907692,1.996714742026609,0.567827541067658,0.20833333333333334,0.03707671789810105,0.20400627755864667
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,return,S011,Recreational/Public (休闲与公共设施区),1.7893490746327532,2.4114456751853885,0.7196739392807222,0.3333333333333333,0.06689855720748418,0.23885685360231443
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,combined,S011,Recreational/Public (休闲与公共设施区),1.714152584011761,2.213813452551581,0.6437507401741901,0.2708333333333333,0.015198144171557746,0.2302928868681363
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,borrow,S012,Commercial/Transit (商业与交通枢纽区),1.6656126308707158,2.0363181626819657,0.7035577812292481,0.20833333333333334,0.03458133447204477,0.2186317871346512
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,return,S012,Commercial/Transit (商业与交通枢纽区),1.793541533283325,2.221820308081647,0.689937525228662,0.25,0.04312560044391431,0.21662589656279252
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,combined,S012,Commercial/Transit (商业与交通枢纽区),1.7295770820770204,2.1310885881483763,0.696747653228955,0.22916666666666666,0.03898909072737422,0.2170713018922572
05_feasibility_correction,raw_continuous,"Use raw continuous predictions without nonnegative, integer or cap correction.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,raw_continuous,7,raw_continuous,borrow,S013,Commercial/Transit (商业与交通枢纽区),1.3914825840464211,1.739703744697152,0.5248558987009293,0.2916666666666667,0.0885025292168148,0.16470331680596556
