analysis,scenario_id,scenario_description,parameter_label,use_global_template,finalization_mode,target_d,method,variable,station_id,zone,mae,rmse,smape,hit10,total_relative_error,share_l1
06_zone_partition,base_model,Original manually annotated functional zones.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,7,base_model,borrow,ALL,ALL,1.6652777777777779,2.190573238015819,0.47742115754643066,0.3375,0.008107088989441931,0.22677903144684958
06_zone_partition,base_model,Original manually annotated functional zones.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,7,base_model,return,ALL,ALL,1.8819444444444444,2.548147475236776,0.4739273991972873,0.30972222222222223,0.0289240972733972,0.2548061604863139
06_zone_partition,base_model,Original manually annotated functional zones.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,7,base_model,combined,ALL,ALL,1.773611111111111,2.376096238230542,0.475674278371859,0.3236111111111111,0.010622437569884458,0.24042889636632062
06_zone_partition,single_global_zone,Merge all stations into one zone.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,7,single_global_zone,borrow,ALL,ALL,1.7555555555555555,2.307596151842865,0.4857229058980637,0.3375,0.01998491704374057,0.24034244723056294
06_zone_partition,single_global_zone,Merge all stations into one zone.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,7,single_global_zone,return,ALL,ALL,1.8833333333333333,2.569046515733026,0.47137730981604486,0.325,0.017686072218128224,0.2527147999232675
06_zone_partition,single_global_zone,Merge all stations into one zone.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,7,single_global_zone,combined,ALL,ALL,1.8194444444444444,2.441823089414956,0.47855010785705426,0.33125,0.0009317927692881103,0.24423813424103008
06_zone_partition,activity_tertile_zone,Data-driven zones by baseline-day total activity tertiles.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,7,activity_tertile_zone,borrow,ALL,ALL,1.6875,2.25,0.48163981735766,0.3458333333333333,0.002828054298642534,0.22940151374012227
06_zone_partition,activity_tertile_zone,Data-driven zones by baseline-day total activity tertiles.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,7,activity_tertile_zone,return,ALL,ALL,1.8833333333333333,2.5565819194993757,0.47360799936375897,0.30694444444444446,0.03758290346352248,0.2553265863239896
06_zone_partition,activity_tertile_zone,Data-driven zones by baseline-day total activity tertiles.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,7,activity_tertile_zone,combined,ALL,ALL,1.7854166666666667,2.4081747352622807,0.4776239083607095,0.3263888888888889,0.017610883339545285,0.24330391603255913
06_zone_partition,capacity_tertile_zone,Infrastructure-driven zones by dock-capacity tertiles.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,7,capacity_tertile_zone,borrow,ALL,ALL,1.7513888888888889,2.323491147198782,0.48905511815224717,0.35,0.01791101055806938,0.2397455313354772
06_zone_partition,capacity_tertile_zone,Infrastructure-driven zones by dock-capacity tertiles.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,7,capacity_tertile_zone,return,ALL,ALL,1.9083333333333334,2.602349365904244,0.47506757865293564,0.31527777777777777,0.020265291083271922,0.2561347385154574
06_zone_partition,capacity_tertile_zone,Infrastructure-driven zones by dock-capacity tertiles.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,7,capacity_tertile_zone,combined,ALL,ALL,1.8298611111111112,2.4668637308669212,0.4820613484025914,0.3326388888888889,0.0013976891539321655,0.2457894043659269
