analysis,scenario_id,scenario_description,parameter_label,use_global_template,finalization_mode,target_d,method,variable,station_id,zone,mae,rmse,smape,hit10,total_relative_error,share_l1
06_zone_partition,base_model,Original manually annotated functional zones.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,7,base_model,borrow,ALL,Commercial/Transit (商业与交通枢纽区),1.6041666666666667,2.022443516585266,0.4601790335718678,0.25,0.02512562814070352,0.2335077449101176
06_zone_partition,base_model,Original manually annotated functional zones.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,7,base_model,return,ALL,Commercial/Transit (商业与交通枢纽区),1.9305555555555556,2.5358540091171564,0.4909798571985152,0.2847222222222222,0.011730205278592375,0.27343212927591215
06_zone_partition,base_model,Original manually annotated functional zones.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,7,base_model,combined,ALL,Commercial/Transit (商业与交通枢纽区),1.7673611111111112,2.2935598240871475,0.4755794453851915,0.2673611111111111,0.018334985133795837,0.2540532481768075
06_zone_partition,base_model,Original manually annotated functional zones.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,7,base_model,borrow,ALL,Educational (文教科研区),1.5052083333333333,2.065338955232288,0.3587710139223163,0.515625,0.006467661691542288,0.14416154521510094
06_zone_partition,base_model,Original manually annotated functional zones.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,7,base_model,return,ALL,Educational (文教科研区),2.0416666666666665,2.8722813232690143,0.4236216510202285,0.390625,0.012012012012012012,0.19936045467960362
06_zone_partition,base_model,Original manually annotated functional zones.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,7,base_model,combined,ALL,Educational (文教科研区),1.7734375,2.5015620120236877,0.3911963324712724,0.453125,0.0027445109780439123,0.17089963180968562
06_zone_partition,base_model,Original manually annotated functional zones.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,7,base_model,borrow,ALL,Recreational/Public (休闲与公共设施区),1.7682291666666667,2.308837189293924,0.5432120258489489,0.28125,0.023923444976076555,0.2975206611570248
06_zone_partition,base_model,Original manually annotated functional zones.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,7,base_model,return,ALL,Recreational/Public (休闲与公共设施区),1.7838541666666667,2.3744516910927738,0.49268560153535645,0.2786458333333333,0.050270045700041545,0.29069995249347463
06_zone_partition,base_model,Original manually annotated functional zones.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,7,base_model,combined,ALL,Recreational/Public (休闲与公共设施区),1.7760416666666667,2.341874249399399,0.5179488136921527,0.2799479166666667,0.014024649383765405,0.2922910224658177
06_zone_partition,single_global_zone,Merge all stations into one zone.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,7,single_global_zone,borrow,ALL,SingleGlobalZone,1.7555555555555555,2.307596151842865,0.4857229058980637,0.3375,0.01998491704374057,0.24034244723056294
