analysis,scenario_id,scenario_description,parameter_label,use_global_template,finalization_mode,mae,rmse,smape,hit10,total_relative_error,share_l1,stock_mae,risk_diff,delta_vs_base_mae,delta_vs_base_rmse,delta_vs_base_smape,delta_vs_base_total_relative_error,delta_vs_base_share_l1,delta_vs_base_stock_mae,delta_vs_base_risk_diff,delta_vs_base_hit10
01_credibility_weight,volume_dominant,Emphasize baseline-day total activity.,"lambda=(0.80,0.10,0.10);theta=0.70;w=[0.30,0.80]",True,cap,1.7527777777777778,2.3646705196848603,0.4701802846327351,0.3347222222222222,0.0104360790160268,0.237682471697014,6.195833333333334,2.9,-0.0208333333333332,-0.0114257185456816,-0.0054939937391239,-0.0001863585538576,-0.0027464246693066,-0.030555555555555,0.1,0.011111111111111
01_credibility_weight,base_model,Basic model selected by pseudo-validation.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,1.773611111111111,2.376096238230542,0.475674278371859,0.3236111111111111,0.0106224375698844,0.2404288963663206,6.226388888888889,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01_credibility_weight,equal_weights,"Equal weights for total activity, zero-hour ratio and peak concentration.","lambda=(0.33,0.33,0.33);theta=0.70;w=[0.30,0.80]",True,cap,1.8159722222222223,2.4277046772620428,0.4821382348938232,0.3166666666666666,0.0138837122623928,0.2469527127540075,6.331944444444445,2.7666666666666666,0.0423611111111112,0.0516084390315008,0.0064639565219642,0.0032612746925083,0.0065238163876869,0.105555555555556,-0.0333333333333332,-0.0069444444444444
01_credibility_weight,sparsity_dominant,Emphasize low zero-hour ratio.,"lambda=(0.20,0.60,0.20);theta=0.70;w=[0.30,0.80]",True,cap,1.8305555555555555,2.4432446550528755,0.484476144187371,0.3159722222222222,0.0150950428624673,0.2490765819055541,6.320833333333334,2.966666666666667,0.0569444444444444,0.0671484168223335,0.008801865815512,0.0044726052925829,0.0086476855392335,0.094444444444445,0.1666666666666669,-0.0076388888888889
01_credibility_weight,stability_dominant,Emphasize both low zero-hour ratio and low peak concentration.,"lambda=(0.20,0.40,0.40);theta=0.70;w=[0.30,0.80]",True,cap,1.8375,2.450906861642124,0.4855142091053234,0.3145833333333333,0.0158404770778978,0.2501577925153521,6.245833333333334,2.9,0.0638888888888888,0.0748106234115817,0.0098399307334643,0.0052180395080134,0.0097288961490314,0.0194444444444448,0.1,-0.0090277777777778
01_credibility_weight,smoothness_dominant,Emphasize low peak concentration.,"lambda=(0.20,0.20,0.60);theta=0.70;w=[0.30,0.80]",True,cap,1.8388888888888888,2.456284456925405,0.4860573458090723,0.3159722222222222,0.0163995527394707,0.2505201303252892,6.216666666666667,2.9,0.0652777777777777,0.0801882186948632,0.0103830674372132,0.0057771151695862,0.0100912339589686,-0.0097222222222219,0.1,-0.0076388888888889
02_weight_clip,narrow_clip_0_3_0_7,Stronger shrinkage by lowering the upper credibility bound.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.70]",True,cap,1.7402777777777778,2.330951164939612,0.4737856574654911,0.3340277777777777,0.0156541185240402,0.2366932159982432,6.141666666666667,2.9,-0.0333333333333332,-0.0451450732909299,-0.0018886209063678,0.0050316809541557,-0.0037356803680773,-0.0847222222222221,0.1,0.0104166666666666
02_weight_clip,base_model,Basic model selected by pseudo-validation.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,1.773611111111111,2.376096238230542,0.475674278371859,0.3236111111111111,0.0106224375698844,0.2404288963663206,6.226388888888889,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02_weight_clip,conservative_0_4_0_8,Avoid very low station credibility.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.40,0.80]",True,cap,1.773611111111111,2.376096238230542,0.475674278371859,0.3236111111111111,0.0106224375698844,0.2404288963663206,6.226388888888889,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02_weight_clip,wide_clip_0_2_0_9,Allow stronger station self-dependence and stronger shrinkage.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.20,0.90]",True,cap,1.7909722222222222,2.4225503090751284,0.4770644878811402,0.3215277777777778,0.0109019754006708,0.2429252130746282,6.391666666666667,3.1,0.0173611111111111,0.0464540708445864,0.0013902095092812,0.0002795378307864,0.0024963167083076,0.1652777777777778,0.3000000000000002,-0.0020833333333333
02_weight_clip,upper_0_9,Keep lower bound but allow higher station credibility.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.90]",True,cap,1.7909722222222222,2.4225503090751284,0.4770644878811402,0.3215277777777778,0.0109019754006708,0.2429252130746282,6.391666666666667,3.1,0.0173611111111111,0.0464540708445864,0.0013902095092812,0.0002795378307864,0.0024963167083076,0.1652777777777778,0.3000000000000002,-0.0020833333333333
02_weight_clip,high_trust_0_5_0_9,Force stronger reliance on station baseline-day samples.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.50,0.90]",True,cap,1.7909722222222222,2.4225503090751284,0.4770644878811402,0.3215277777777778,0.0109019754006708,0.2429252130746282,6.391666666666667,3.1,0.0173611111111111,0.0464540708445864,0.0013902095092812,0.0002795378307864,0.0024963167083076,0.1652777777777778,0.3000000000000002,-0.0020833333333333
03_zone_shrinkage,theta_0_0_global_only,Use only the global template inside the shrinkage part.,"lambda=(0.60,0.20,0.20);theta=0.00;w=[0.30,0.80]",True,cap,1.7680555555555555,2.3667253513850923,0.4756571620714644,0.325,0.0134178158777487,0.2402201185288277,6.309722222222222,2.6333333333333333,-0.0055555555555555,-0.0093708868454496,-1.7116300394581785e-05,0.0027953783078643,-0.0002087778374928,0.083333333333333,-0.1666666666666665,0.0013888888888888
03_zone_shrinkage,base_model,Basic model selected by pseudo-validation.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,1.773611111111111,2.376096238230542,0.475674278371859,0.3236111111111111,0.0106224375698844,0.2404288963663206,6.226388888888889,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03_zone_shrinkage,theta_0_8,Stronger functional-zone dominance.,"lambda=(0.60,0.20,0.20);theta=0.80;w=[0.30,0.80]",True,cap,1.773611111111111,2.3793089566323897,0.4744563884537794,0.3256944444444444,0.0106224375698844,0.2404769164269115,6.240277777777778,2.8666666666666667,0.0,0.0032127184018477,-0.0012178899180795,0.0,4.802006059093089e-05,0.0138888888888892,0.0666666666666668,0.0020833333333333
03_zone_shrinkage,theta_0_5_balanced,Use equal functional-zone and global template weights.,"lambda=(0.60,0.20,0.20);theta=0.50;w=[0.30,0.80]",True,cap,1.7756944444444445,2.373318117928755,0.4760355760887965,0.3229166666666667,0.011833768169959,0.2409095949262675,6.208333333333333,2.7,0.0020833333333334,-0.0027781203017869,0.0003612977169375,0.0012113306000745,0.0004806985599469,-0.0180555555555557,-0.0999999999999996,-0.0006944444444444
03_zone_shrinkage,theta_0_6,Moderate functional-zone dominance.,"lambda=(0.60,0.20,0.20);theta=0.60;w=[0.30,0.80]",True,cap,1.7770833333333331,2.37565780364092,0.4759311441967965,0.3222222222222222,0.0112746925083861,0.2409990715265942,6.183333333333334,2.7666666666666666,0.0034722222222223,-0.000438434589622,0.0002568658249375,0.0006522549385016,0.0005701751602736,-0.0430555555555551,-0.0333333333333332,-0.0013888888888888
03_zone_shrinkage,theta_1_0_zone_only,Use only the functional-zone template inside the shrinkage part.,"lambda=(0.60,0.20,0.20);theta=1.00;w=[0.30,0.80]",True,cap,1.7798611111111111,2.391390808713624,0.4732782902906606,0.3270833333333333,0.0109019754006708,0.2412864516190195,6.2625,2.933333333333333,0.00625,0.015294570483082,-0.0023959880811983,0.0002795378307864,0.0008575552526989,0.0361111111111114,0.1333333333333333,0.0034722222222222
04_global_template,global_only_template,Use only the global template in shrinkage.,"lambda=(0.60,0.20,0.20);theta=0.00;w=[0.30,0.80]",True,cap,1.7680555555555555,2.3667253513850923,0.4756571620714644,0.325,0.0134178158777487,0.2402201185288277,6.309722222222222,2.6333333333333333,-0.0055555555555555,-0.0093708868454496,-1.7116300394581785e-05,0.0027953783078643,-0.0002087778374928,0.083333333333333,-0.1666666666666665,0.0013888888888888
04_global_template,base_model,Use functional-zone template plus a small global template component.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,1.773611111111111,2.376096238230542,0.475674278371859,0.3236111111111111,0.0106224375698844,0.2404288963663206,6.226388888888889,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04_global_template,half_zone_half_global,Use equal functional-zone and global template weights.,"lambda=(0.60,0.20,0.20);theta=0.50;w=[0.30,0.80]",True,cap,1.7756944444444445,2.373318117928755,0.4760355760887965,0.3229166666666667,0.011833768169959,0.2409095949262675,6.208333333333333,2.7,0.0020833333333334,-0.0027781203017869,0.0003612977169375,0.0012113306000745,0.0004806985599469,-0.0180555555555557,-0.0999999999999996,-0.0006944444444444
04_global_template,no_global_template,Remove the global template; use only the functional-zone template in shrinkage.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",False,cap,1.7798611111111111,2.391390808713624,0.4732782902906606,0.3270833333333333,0.0109019754006708,0.2412864516190195,6.2625,2.933333333333333,0.00625,0.015294570483082,-0.0023959880811983,0.0002795378307864,0.0008575552526989,0.0361111111111114,0.1333333333333333,0.0034722222222222
04_global_template,zone_only_via_theta,Use theta=1 with the normal formula; equivalent to no global template.,"lambda=(0.60,0.20,0.20);theta=1.00;w=[0.30,0.80]",True,cap,1.7798611111111111,2.391390808713624,0.4732782902906606,0.3270833333333333,0.0109019754006708,0.2412864516190195,6.2625,2.933333333333333,0.00625,0.015294570483082,-0.0023959880811983,0.0002795378307864,0.0008575552526989,0.0361111111111114,0.1333333333333333,0.0034722222222222
05_feasibility_correction,round_only,"Force nonnegative integer predictions, but do not apply historical upper bounds.","lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,round_only,1.773611111111111,2.376096238230542,0.475674278371859,0.3236111111111111,0.0106224375698844,0.2404288963663206,6.226388888888889,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_feasibility_correction,base_model,Basic model: nonnegative integer predictions plus historical mild upper cap.,"lambda=(0.60,0.20,0.20);theta=0.70;w=[0.30,0.80]",True,cap,1.773611111111111,2.376096238230542,0.475674278371859,0.3236111111111111,0.0106224375698844,0.2404288963663206,6.226388888888889,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
